F1,F2,F3,F4,F5,F6
198921.492899233,-198921.124947729,0.18950130780417,-0.269569495888149,0.325516161335827,0.0342427894805544
-182261.459614523,182261.889336895,0.182520038148873,-0.161194218136471,0.57726831095181,-0.0550169323381721
240738.405193348,-240737.88963407,0.0849257260781731,-0.274972061553606,0.499750445915729,-0.0801606559081626
39012.0904024298,-39011.6777011092,0.100806186565587,-0.219819105139424,0.620877062001498,-0.0372390365312842
714820.13186473,-714819.654183375,0.113030049746037,-0.176373450757328,0.206579994008435,-0.0672507477962539
-491636.314449925,491636.524516499,0.311224575460588,0.0949689250749889,0.394954110252409,-0.0131491541855512
2963251.8390857,-2963251.35960988,-0.000624401915982455,-0.371002174385763,0.242756090112289,0.233465153241896
2412304.51637219,-2412304.00609131,-0.0145631426792763,-0.366099986353374,0.241812766571182,0.318792019071969
400628.720256186,-400628.459012365,0.315959331468657,0.243051173583448,-0.0190515723451488,0.0198487989886192
2998210.50012218,-2998210.00634835,0.00123460952678248,-0.386264023654678,0.233765038336485,0.271317424825071
2576281.42718296,-2576280.92669227,-0.0186471636791752,-0.370586886385563,0.249592648802846,0.29797440498261
1034531.87883905,-1034531.26962968,-0.24470743208872,-0.327135156614109,0.146877085777557,0.0907436276263079
934189.275218893,-934188.713866119,-0.281605706914992,-0.331892606290455,0.118667196637747,0.111678707506507
-504973.126814507,504973.29183416,0.42379194128504,0.396106580222486,-0.0410041715247718,-0.1088886615195
-108261.695753106,108261.766692669,0.421124900673175,0.36003539715593,-0.0071816506990276,-0.106150433404154
758904.561001692,-758904.205935442,-0.108720820349856,-0.202636273252937,0.217403412311546,0.000895413513063589
476178.129413837,-476177.826122156,0.320669516000771,0.25495177187104,-0.193690476110215,-0.240573675967363
-212829.59233336,212829.952299378,-0.154251362711658,-0.15795219839307,0.0901045705352722,0.184880836555395
551753.546766049,-551753.423963567,0.443306469077455,0.337582046508561,-0.254610947099035,-0.306680206501048
1024749.53935379,-1024749.1447108,-0.104731417373065,-0.242642280988238,0.213560256730318,0.383702893196301
669322.719119013,-669322.591720202,0.527199401481459,0.309641247402196,-0.150584345793294,-0.165145584102612
-45539.2399189228,45540.2895849944,-0.574626964704887,0.122076674578122,-0.0568091282490781,-0.0297526389337769
32897.3270823467,-32896.4396117227,-0.492644107897108,0.158834643320748,0.0736520733206164,-0.111579793081402
-95223.3358876303,95224.3821599754,-0.556708141075689,0.0848056381396879,-0.0710805609766714,-0.0535268554162559
-251493.720363864,251494.368442476,-0.291950826841687,0.0174218368357248,0.00312108647043048,-0.0260166585027711
-23450.1516866264,23451.041668689,-0.505071958379033,0.119993611858234,0.0818318189413895,-0.0813174972412212
-421108.74631427,421109.562952832,-0.23518961814475,0.325693124849817,-0.123058752120972,-0.051282751513677
28840.906295111,-28840.3254255105,-0.0934115518104834,-0.0554814190984203,0.144785706356722,0.00493512013299016
-571098.212567074,571098.510802259,0.24445135675574,0.354607996498524,0.0131669977461583,-0.066313231761183
-40546.1416944267,40546.7463270449,-0.167665224431413,0.0342231484495637,0.12322749769442,-0.10983191718503
384705.28249562,-384704.63790222,0.0173631079820457,-0.242076854100726,0.0338643380922467,0.433463906984045
-5664.88084252481,5665.58457541192,0.00271612411072135,-0.0887291181522672,0.08054622685304,0.340224078231632
-6825.90452493489,6826.4756551201,0.0567076367320131,-0.293115188256221,-0.0510920591144095,0.315745992461983
-104244.781054928,104244.94993399,0.406952374741831,0.0838680754336534,-0.15113587089307,-0.0119690278839451
48912.8424067221,-48912.086006364,0.120901347007667,-0.542880481886508,-0.0152227776900092,0.104489664592729
306588.736710542,-306588.17553074,0.162040701360533,-0.50111605847463,0.0265528725493539,-0.0252332900676197
-82210.5065681197,82211.1990484009,0.220932053276416,-0.651007579028312,0.00226346869658339,-0.093700673271142
-512030.769686789,512031.501526392,0.112434470787179,-0.585597503764951,-0.0706502760199337,-0.0652348956661468
-197587.388087965,197588.122426257,0.207533531145118,-0.657781433917132,-0.0430738615586456,-0.152930982553302
158113.220287697,-158112.884810903,0.30946878537088,0.0719315081061888,-0.0250969594566709,0.356304910469035
-91814.6058911225,91815.15226773,0.141280994768172,0.171102460213858,-0.0923156177652459,0.220834287958511
-118300.894747998,118300.912725558,0.450086343518753,0.303993916419767,0.0887172540889358,0.027768541138918
-26019.2642134924,26019.4741020241,0.428974073245895,0.178805719742932,0.0835066555783944,0.053426418532858
-101742.909972035,101742.998041717,0.45086298515547,0.266496629251863,-0.0783822126140638,0.046036939579429
-105520.617670651,105521.198249675,0.112201238027919,-0.084403568100742,0.0465984641563051,0.0711465547199839
278391.799044752,-278391.235636776,0.17843599607137,-0.213646150996415,0.061749513015767,0.315580882049462
-433920.552737744,433921.264933652,0.0578102694818165,-0.437599265159008,-0.0956215316858738,-0.00136993003357405
140910.09748627,-140910.131109523,0.51450513986612,0.277093739633037,0.00333589291178705,0.058161742906937
321287.150254278,-321286.725089938,0.0138669395566069,-0.127300623859898,0.226199645947271,0.113701517265855
